"Species","Limb_Width","Limb_Length","Observer"
"Sagittarius serpentarius",0.918391885216478,3.29243558601953,"Observer A"
"Strix varia",2.02394720472829,1.61438288671647,"Observer A"
"Strix varia",0.853438637670421,4.04078674659787,"Observer A"
"Strix varia",0.454469204585045,0.878714483588791,"Observer A"
"Strix varia",2.02305878317611,1.54005583391937,"Observer C"
"Corvus albus",0.978389655689315,0.281774704565912,"Observer A"
"Strix varia",0.13284680389017,0.790759974499691,"Observer C"
"Corvus albus",2.7321422779249,3.24194544362027,"Observer C"
"Falco peregrinus",0.342693548887902,1.08388647229037,"Observer C"
"Strix varia",0.291599179284554,2.37425002708422,"Observer A"
"Pandion haliaetus",0.606242302248668,1.12892188490438,"Observer C"
"Sagittarius serpentarius",0.360705551290486,2.68689698728213,"Observer B"
"Strix varia",1.01881060583816,1.62103014894136,"Observer A"
"Falco peregrinus",1.00835429618074,0.673101731192324,"Observer A"
"Falco peregrinus",1.84633819148866,2.94808529735676,"Observer C"
"Sagittarius serpentarius",0.0403061385594033,2.26393982514215,"Observer A"
"Pandion haliaetus",1.34510255265609,2.81631654785507,"Observer C"
"Corvus albus",0.92125418930619,2.007664086913,"Observer A"
"Falco peregrinus",3.50002259024136,1.73433182234159,"Observer C"
"Strix varia",0.563092264039749,0.939570335009758,"Observer C"
"Strix varia",1.28647959307728,2.66740755286334,"Observer A"
"Strix varia",1.29792623333715,0.893144310378788,"Observer A"
"Corvus albus",0.301512661942549,1.8493915456276,"Observer C"
"Falco peregrinus",0.605365690340161,1.34689643382422,"Observer B"
"Falco peregrinus",2.97371638198681,1.93639618867688,"Observer A"
"Sagittarius serpentarius",0.771222627904797,0.653060955081703,"Observer A"
"Sagittarius serpentarius",1.05510750435068,5.25192646806012,"Observer C"
"Strix varia",0.737574348318673,2.58090815272456,"Observer C"
"Pandion haliaetus",0.260731680431316,2.84922937853013,"Observer C"
"Corvus albus",0.134746394109298,2.06559807392505,"Observer C"
"Corvus albus",1.92663128535111,3.38580784141123,"Observer C"
"Strix varia",0.573712612839222,1.07057784376012,"Observer C"
"Falco peregrinus",0.926391295443297,2.23797258813116,"Observer C"
"Sagittarius serpentarius",0.541424155224893,0.416275191793613,"Observer C"
"Corvus albus",2.8544940723793,1.20085938909065,"Observer A"
"Sagittarius serpentarius",0.109344451931265,1.50259618419489,"Observer A"
"Pandion haliaetus",0.307526778089695,1.3865106438822,"Observer B"
"Falco peregrinus",1.41502652728551,2.38199545601523,"Observer C"
"Corvus albus",0.502272178987867,3.00820848309654,"Observer A"
